"""About the data: Analytical views - Publisher - Exported on Feb 24, 2023. Criteria: Publication Year is 2021; Research Organization is Harvard University. © 2023 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.""
American Society for Pharmacology & Experimental Therapeutics (ASPET),214,2,214,0.01,164,0,164,0.00
American Society of Plant Taxonomists,214,2,214,0.01,93,2,93,0.02
American Spinal Injury Association,214,2,214,0.01,164,0,164,0.00
Association of Basic Medical Sciences of FBIH,214,2,214,0.01,164,0,164,0.00
Bristol University Press,214,2,214,0.01,115,1,115,0.01
Chinese Center for Disease Control and Prevention,214,2,214,0.01,164,0,164,0.00
ClinMed International Library,214,2,214,0.01,164,0,164,0.00
Clinics Cardive Publishing,214,2,214,0.01,164,0,164,0.00
Compuscript,214,2,214,0.01,164,0,164,0.00
"Elmer Press, Inc.",214,2,214,0.01,164,0,164,0.00
EpiSmart Science Vector Ltd,214,2,214,0.01,164,0,164,0.00
Geological Society of London,214,2,214,0.01,164,0,164,0.00
Index Copernicus,214,2,214,0.01,93,2,93,0.02
Japan Kaatsu Training Society,214,2,214,0.01,164,0,164,0.00
Japan Medical Association,214,2,214,0.01,164,0,164,0.00
King Faisal Specialist Hospital and Research Centre - DIGITAL COMMONS JOURNALS,214,2,214,0.01,164,0,164,0.00
Korean Pediatric Society,214,2,214,0.01,164,0,164,0.00
Korean Society of Ultrasound in Medicine,214,2,214,0.01,164,0,164,0.00
Longwoods Publishing,214,2,214,0.01,164,0,164,0.00
Louisiana State University Libraries,214,2,214,0.01,164,0,164,0.00
MJH Life Sciences,214,2,214,0.01,164,0,164,0.00
Mark Allen Group,214,2,214,0.01,93,2,93,0.02
National Inquiry Services Center (NISC),214,2,214,0.01,93,2,93,0.02
National Institute for Health and Care Research (NIHR),214,2,214,0.01,164,0,164,0.00
New York University,214,2,214,0.01,164,0,164,0.00
Open Library of the Humanities,214,2,214,0.01,164,0,164,0.00
Pleiades Publishing,214,2,214,0.01,93,2,93,0.02
Radcliffe Cardiology,214,2,214,0.01,164,0,164,0.00
SMW Supporting Association,214,2,214,0.01,164,0,164,0.00
SRUMB - Romanian Society for Ultrasonography in Medicine and Biology,214,2,214,0.01,164,0,164,0.00
ScienceOpen,214,2,214,0.01,164,0,164,0.00
Scientific Archives LLC,214,2,214,0.01,164,0,164,0.00
Scitepress,214,2,214,0.01,115,1,115,0.01
Sistema de Bibliotecas PUCP,214,2,214,0.01,164,0,164,0.00
Sociedade Brasileira de Cirurgia Cardiovascular,214,2,214,0.01,164,0,164,0.00
Sociedade Brasileira de Pneumologia e Tisiologia,214,2,214,0.01,164,0,164,0.00
Society for Music Theory,214,2,214,0.01,164,0,164,0.00
The Biological Society of Washington,214,2,214,0.01,93,2,93,0.02
The Journal of Health Economics and Outcomes Research,214,2,214,0.01,164,0,164,0.00
Trinidad and Tobago Medical Association,214,2,214,0.01,164,0,164,0.00
Universa BV,214,2,214,0.01,164,0,164,0.00
Universidad del Valle,214,2,214,0.01,164,0,164,0.00
University of Massachusetts Medical School,214,2,214,0.01,164,0,164,0.00
University of Michigan Law Library,214,2,214,0.01,164,0,164,0.00
Uppsala Medical Society,214,2,214,0.01,164,0,164,0.00
AOTA Press,265,1,265,0.00,115,1,115,0.01
ASM International,265,1,265,0.00,164,0,164,0.00
Academicus Journal,265,1,265,0.00,164,0,164,0.00
Alcohol Research Documentation,265,1,265,0.00,164,0,164,0.00
American Academy of Implant Dentistry,265,1,265,0.00,115,1,115,0.01
American Association of Physics Teachers (AAPT),265,1,265,0.00,115,1,115,0.01
American Institute of Mathematical Sciences (AIMS),265,1,265,0.00,164,0,164,0.00
American Journal of Pharmaceutical Education,265,1,265,0.00,164,0,164,0.00
American Nephrology Nurses Association,265,1,265,0.00,115,1,115,0.01
American Scientific Publishers,265,1,265,0.00,115,1,115,0.01
American Society for Biochemistry & Molecular Biology (ASBMB),265,1,265,0.00,164,0,164,0.00
American Society for Engineering Education,265,1,265,0.00,164,0,164,0.00
Amsterdam University Press,265,1,265,0.00,115,1,115,0.01
Association for Computational Linguistics (ACL),265,1,265,0.00,164,0,164,0.00
Association of Biomolecular Resource Facilities,265,1,265,0.00,164,0,164,0.00
Bernoulli Society for Mathematical Statistics and Probability,265,1,265,0.00,164,0,164,0.00
BioExcel,265,1,265,0.00,164,0,164,0.00
COPD Foundation,265,1,265,0.00,164,0,164,0.00
Canadian Mathematical Society,265,1,265,0.00,164,0,164,0.00
Canadian Urological Association Journal,265,1,265,0.00,164,0,164,0.00
Case Western Reserve University,265,1,265,0.00,164,0,164,0.00
Center for Transportation Studies,265,1,265,0.00,164,0,164,0.00
China Anti-cancer Association,265,1,265,0.00,164,0,164,0.00
Chinese Journal of Cancer Research,265,1,265,0.00,164,0,164,0.00
Cleveland Clinic Journal of Medicine,265,1,265,0.00,164,0,164,0.00
Clinical Exercise Physiology Association,265,1,265,0.00,115,1,115,0.01
Dougmar Publishing Group,265,1,265,0.00,164,0,164,0.00
Edicions de la Universitat de Barcelona,265,1,265,0.00,164,0,164,0.00
Edinburgh University Press,265,1,265,0.00,115,1,115,0.01
Editorial de la Universidad de Granada,265,1,265,0.00,115,1,115,0.01
"Edizioni Internazionali srl, Divisione EDIMES Edizioni Medico-Scientifiche",265,1,265,0.00,164,0,164,0.00
Edra SpA,265,1,265,0.00,164,0,164,0.00
EduRad,265,1,265,0.00,164,0,164,0.00
Egypts Presidential Specialized Council for Education and Scientific Research,265,1,265,0.00,164,0,164,0.00
Europa Digital & Publishing,265,1,265,0.00,164,0,164,0.00
European Association of Cardiothoracic Surgery Publishing,265,1,265,0.00,115,1,115,0.01
European Centre for Disease Control and Prevention (ECDC),265,1,265,0.00,164,0,164,0.00
European Medical Group,265,1,265,0.00,164,0,164,0.00
Faculty of Medicine Prince of Songkla University,265,1,265,0.00,164,0,164,0.00
"Faculty of Medicine Siriraj Hospital, Mahidol University",265,1,265,0.00,164,0,164,0.00
Farname,265,1,265,0.00,164,0,164,0.00
Federal Reserve Bank of Cleveland,265,1,265,0.00,164,0,164,0.00
Forum for Medical Ethics Society,265,1,265,0.00,164,0,164,0.00
Foundation for Open Access Statistic,265,1,265,0.00,164,0,164,0.00
Fundacio Barcelona Respiratory Network,265,1,265,0.00,164,0,164,0.00
Ghent University,265,1,265,0.00,164,0,164,0.00
Harvard Education Publishing Group,265,1,265,0.00,115,1,115,0.01
IJAICT India Publications,265,1,265,0.00,164,0,164,0.00
IWA Publishing,265,1,265,0.00,164,0,164,0.00
Infectious Disease and Control Branch (IDPCB) - Public Health Agency of Canada,265,1,265,0.00,164,0,164,0.00
Innovative Healthcare Institute,265,1,265,0.00,164,0,164,0.00
Institute of Noise Control Engineering (INCE),265,1,265,0.00,115,1,115,0.01
International Journal of Medical Education,265,1,265,0.00,164,0,164,0.00
International Journal of Spine Surgery,265,1,265,0.00,164,0,164,0.00
International Society for the Scholarship of Teaching and Learning,265,1,265,0.00,164,0,164,0.00
JCFCorp SG PTE LTD,265,1,265,0.00,164,0,164,0.00
Japan Neurosurgical Society,265,1,265,0.00,164,0,164,0.00
Japanese Association for Laboratory Animal Science,265,1,265,0.00,164,0,164,0.00
Japanese Association of Sign Linguistics,265,1,265,0.00,164,0,164,0.00
Japanese Circulation Society,265,1,265,0.00,164,0,164,0.00
Japanese Society of Internal Medicine,265,1,265,0.00,164,0,164,0.00
JoGH,265,1,265,0.00,164,0,164,0.00
John Benjamins Publishing Company,265,1,265,0.00,115,1,115,0.01
Journal of Advanced Dentistry,265,1,265,0.00,115,1,115,0.01
Journal of Sports Science and Medicine,265,1,265,0.00,164,0,164,0.00
Knowledge Enterprise Journals,265,1,265,0.00,164,0,164,0.00
Korea Disease Control and Prevention Agency,265,1,265,0.00,164,0,164,0.00
Korean Association for the Study of Intestinal Diseases,265,1,265,0.00,164,0,164,0.00
Korean Association of Anatomists,265,1,265,0.00,164,0,164,0.00
Korean Cancer Association,265,1,265,0.00,164,0,164,0.00
Korean College of Neuropsychopharmacology,265,1,265,0.00,164,0,164,0.00
Korean Diabetes Association,265,1,265,0.00,164,0,164,0.00
Korean Pain Society,265,1,265,0.00,164,0,164,0.00
Korean Shoulder and Elbow Society,265,1,265,0.00,164,0,164,0.00
Korean Society for Preventive Medicine,265,1,265,0.00,164,0,164,0.00
Korean Society of Sleep Medicine,265,1,265,0.00,164,0,164,0.00
Korean Stroke Society,265,1,265,0.00,164,0,164,0.00
Leibniz Institute for Psychology (ZPID),265,1,265,0.00,164,0,164,0.00
Levy Library Press,265,1,265,0.00,164,0,164,0.00
Loma Linda Publishing Company,265,1,265,0.00,164,0,164,0.00
Mattioli1885,265,1,265,0.00,164,0,164,0.00
Max Planck Institute for Demographic Research,265,1,265,0.00,164,0,164,0.00
Medecine et Hygiene,265,1,265,0.00,115,1,115,0.01
MediaSphere Medical LLC,265,1,265,0.00,164,0,164,0.00
Methodist DeBakey Cardiovascular Journal,265,1,265,0.00,164,0,164,0.00
Missouri Botanical Garden Press,265,1,265,0.00,115,1,115,0.01
National Council of Teachers of Mathematics,265,1,265,0.00,115,1,115,0.01
National Institute of Industrial Health,265,1,265,0.00,164,0,164,0.00
National Institute on Alcohol Abuse and Alcoholism,265,1,265,0.00,164,0,164,0.00
"National Museum, Czech Republic",265,1,265,0.00,164,0,164,0.00
Nepal Journals Online (JOL),265,1,265,0.00,164,0,164,0.00
Open Exploration Publishing,265,1,265,0.00,164,0,164,0.00
PAGEPress Publications,265,1,265,0.00,164,0,164,0.00
Partners in Digital Health,265,1,265,0.00,164,0,164,0.00
Penerbit Universiti Sains Malaysia,265,1,265,0.00,164,0,164,0.00
Philosophy of Education Society,265,1,265,0.00,164,0,164,0.00
Physical Society of Japan,265,1,265,0.00,164,0,164,0.00
Press of International Journal of Ophthalmology (IJO Press),265,1,265,0.00,164,0,164,0.00
Privacy Enhancing Technologies Symposium Advisory Board,265,1,265,0.00,164,0,164,0.00
Publishing House Nestor-Historia,265,1,265,0.00,164,0,164,0.00
Research in Corpus Linguistics,265,1,265,0.00,164,0,164,0.00
Research-Publishing.net,265,1,265,0.00,164,0,164,0.00
SLACK,265,1,265,0.00,164,0,164,0.00
Salvia Medical Sciences,265,1,265,0.00,164,0,164,0.00
"Scandinavian Journal of Work, Environment and Health",265,1,265,0.00,164,0,164,0.00
"School of Religion, Philosophy and Classics, Howard College Campus - UKZN",265,1,265,0.00,115,1,115,0.01
Science China Press,265,1,265,0.00,164,0,164,0.00
Scientific and Practical Reviewed Journal Pulmonology,265,1,265,0.00,164,0,164,0.00
"Shorenstein Center for Media, Politics, and Public Policy",265,1,265,0.00,164,0,164,0.00
Siapec Servizi Srl,265,1,265,0.00,164,0,164,0.00
Skvortsovia. International Journal of Salicology and Plant Biology. Institute Botanic Garden UB RAS,265,1,265,0.00,115,1,115,0.01
Sociedade Brasileira de Computacao - SB,265,1,265,0.00,164,0,164,0.00
Sociedade Brasileira de Geriatria e Gerontologia,265,1,265,0.00,164,0,164,0.00
Society for Industrial & Applied Mathematics (SIAM),265,1,265,0.00,164,0,164,0.00
Society for the Preservation of Natural History Collections (SPNHC),265,1,265,0.00,115,1,115,0.01
Society of Exploration Geophysicists,265,1,265,0.00,115,1,115,0.01
Society of Petroleum Engineers (SPE),265,1,265,0.00,115,1,115,0.01
Southern Medical Association,265,1,265,0.00,115,1,115,0.01
Sri Lanka Journals Online (JOL),265,1,265,0.00,164,0,164,0.00
Stichting Nase,265,1,265,0.00,164,0,164,0.00
Stockholm University Press,265,1,265,0.00,164,0,164,0.00
Surgical Technology Online,265,1,265,0.00,115,1,115,0.01
The Bulletin of Zoological Nomenclature,265,1,265,0.00,115,1,115,0.01
The Chemical Society of Japan,265,1,265,0.00,164,0,164,0.00
The Japanese Society of Clinical Neuropsychopharmacology,265,1,265,0.00,164,0,164,0.00
The Journal of Rheumatology,265,1,265,0.00,164,0,164,0.00
The Korean Geriatrics Society,265,1,265,0.00,164,0,164,0.00
The Korean Society of Emergency Medicine,265,1,265,0.00,164,0,164,0.00
The Korean Society of Neurogastroenterology and Motility,265,1,265,0.00,164,0,164,0.00
The Korean Society of Pathologists and The Korean Society for Cytopathology,265,1,265,0.00,164,0,164,0.00
The Korean Spinal Neurosurgery Society,265,1,265,0.00,164,0,164,0.00
The Pennsylvania State University Press,265,1,265,0.00,115,1,115,0.01
Touch Digital Media,265,1,265,0.00,164,0,164,0.00
Transpopmed,265,1,265,0.00,164,0,164,0.00
Tree-Ring Society,265,1,265,0.00,115,1,115,0.01
Tsinghua University Press,265,1,265,0.00,164,0,164,0.00
UCL Press,265,1,265,0.00,164,0,164,0.00
Universidad Externado de Colombia,265,1,265,0.00,164,0,164,0.00
Universidad de Costa Rica,265,1,265,0.00,164,0,164,0.00
Universidade Federal de Alogoas,265,1,265,0.00,164,0,164,0.00
Universitat de Valencia,265,1,265,0.00,164,0,164,0.00
University of Alberta Libraries,265,1,265,0.00,164,0,164,0.00
University of Arizona,265,1,265,0.00,164,0,164,0.00
University of Bern,265,1,265,0.00,164,0,164,0.00
University of Chicago Press,265,1,265,0.00,115,1,115,0.01
University of Groningen Press,265,1,265,0.00,164,0,164,0.00
University of Illinois Libraries,265,1,265,0.00,164,0,164,0.00
University of Minnesota Press,265,1,265,0.00,164,0,164,0.00
University of Nebraska Consortium of Libraries - UNCL,265,1,265,0.00,164,0,164,0.00
University of Notre Dame,265,1,265,0.00,164,0,164,0.00
"University of Rijeka, Faculty of Medicine",265,1,265,0.00,164,0,164,0.00
University of Tartu,265,1,265,0.00,164,0,164,0.00
University of Wales Press/Gwasg Prifysgol Cymru,265,1,265,0.00,115,1,115,0.01
University of Warsaw,265,1,265,0.00,164,0,164,0.00
Universtity of Bergen Library,265,1,265,0.00,164,0,164,0.00
Uniwersytet Lodzki (University of Lodz),265,1,265,0.00,164,0,164,0.00
Verein zur Forderung des Open Access Publizierens in den Quantenwissenschaften,265,1,265,0.00,164,0,164,0.00
Westerdijk Fungal Biodiversity Institute,265,1,265,0.00,164,0,164,0.00
World Health Organization Regional Office for the Eastern Mediterranean (WHO/EMRO),265,1,265,0.00,164,0,164,0.00
"World Health Organization, Western Pacific Regional Office",265,1,265,0.00,164,0,164,0.00
World Journal of Emergency Medicine,265,1,265,0.00,164,0,164,0.00
Xia & He Publishing,265,1,265,0.00,164,0,164,0.00
Yong Loo Lin School of Medicine,265,1,265,0.00,164,0,164,0.00
Zhejiang University Press,265,1,265,0.00,164,0,164,0.00
